,Question,Candidate Answer 1,Candidate Answer 2,Candidate Answer 3,Source,Section,Working Group,Series
10,"In an MSISDN-less Mobile-Originated Short Message Service scenario, how does the User Equipment determine which Global Profile Identifier to use when it has multiple GPSIs associated with the same International Mobile Subscriber Identity?",The UE determines the GPSI by using its IMSI and the Application Port ID value in the TP-User-Data field. This information is used to identify the specific GPSI associated with the SMS.,"When a UE has multiple GPSIs linked to the same IMSI, it can determine which GPSI to use for an SMS by examining the Application Port ID value within the TP-User-Data field of the message. This port ID serves as a unique identifier that helps the UE select the correct GPSI.","In scenarios where a UE is associated with multiple GPSIs under the same IMSI, the Network Exposure Function can assist in determining the appropriate GPSI for an SMS. The NEF achieves this by querying the Unified Data Management using the UE's IMSI and application port ID.",3GPP TS 23.501,4.4.7 MSISDN-less MO SMS Service,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
11,How does the 5G system ensure UE access to forbidden PLMNs during a disaster condition while minimizing congestion?,"The 5G system ensures UE access to PLMNs in a forbidden PLMN list during a disaster condition through several mechanisms. It provides means for the UE to detect when a disaster condition applies and no other PLMN is available except those in the forbidden PLMN list, allowing temporary access to these otherwise restricted networks. The system also enables resource-efficient communication between the PLMN and potential Disaster Inbound Roamers about accessibility. To minimize congestion caused by Disaster Roaming, the 5G system supports network reselection once the disaster condition has ended.","The 5G system addresses the challenge of UE access to forbidden PLMNs during disasters while minimizing congestion through a multi-faceted approach. It includes mechanisms for identifying when a Disaster Condition applies specifically to UEs of a certain PLMN, allowing targeted support. The system enables PLMNs to efficiently communicate their accessibility status to potential inbound roamers affected by the disaster, facilitating access and managing network load.","To ensure UE access to forbidden PLMNs during a disaster while minimizing congestion, the 5G system leverages its advanced network capabilities. It allows for dynamic adjustments in network policies, enabling temporary access to otherwise restricted networks when a disaster condition is detected. The system supports centralized control by the Home Public Land Mobile Network (HPLMN) to manage network traffic and prevent unnecessary congestion.",3GPP TS 22.261,6.31.2.3 Disaster Roaming,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
12,"In a scenario where Gi/SGi PtP tunnelling based on UDP/IP is used to deliver Non-IP data to an Application Server (AS) via GGSN/P-GW, what are the pre-configured parameters in both ends of the tunnel that need to be aligned between peers for successful data transfer?","The pre-configured parameters include the UDP destination port number to use when sending Non-IP data and the UDP port number it wants to receive Non-IP data. These parameters are configured in the GGSN/P-GW per APN and in the AS, ensuring that the port numbers used are aligned between peers for successful data transfer.","The pre-configured parameters include the destination IP address to be used for sending Non-IP data and the UDP source port number. The destination IP address is configured in the GGSN/P-GW per APN, while the UDP source port number can be a pre-configured or locally allocated port number in both the GGSN/P-GW and AS.","To ensure successful data transfer, several pre-configured parameters need to be aligned between peers. These include the UDP destination port number for sending and receiving Non-IP data, which are configured in both the GGSN/P-GW per APN and the AS. Additionally, the IP address or IPv6 prefix+suffix of the UE is used as the source address in the GGSN/P-GW and as the destination address in the AS for the PtP tunnel.",3GPP TS 29.061,11.8.2 Gi/SGi PtP tunnelling based on UDP/IP,CT WG3,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
13,What are the specific purposes and constraints of the required and optional input parameters for the Npcf_AMPolicyAuthorization_Update service operation in the 5G System (5GS)?,"The Npcf_AMPolicyAuthorization_Update service operation requires an identification of the application context as a mandatory input parameter, which serves as a unique identifier for the policy update. Optional input parameters include throughput requirements, service coverage requirements, policy duration, 5G access stratum time distribution indication, Uu time synchronization error budget, clock quality detail level, and clock quality acceptance criteria.","For the Npcf_AMPolicyAuthorization_Update service operation in the 5GS, the required input parameter is the identification of the application context. This ensures that the PCF can accurately update policy authorizations for the specified application. Optional parameters allow for more granular control and flexibility, including specifying throughput requirements to manage network resources, service coverage areas to ensure adequate service availability, and time-sensitive settings like policy duration and clock quality to maintain synchronization and timing accuracy.","The Npcf_AMPolicyAuthorization_Update operation in the 5G System (5GS) accepts a mix of required and optional input parameters to facilitate flexible policy updates. Mandatory is the identification of the application context, which serves as a reference for the update. Optionally, inputs can include various performance and quality metrics such as throughput requirements, service coverage needs, and detailed clock quality specifications. These optional parameters enable more precise control over policy authorizations, catering to diverse application requirements within the 5GS ecosystem.",3GPP TS 23.502,5.2.5.8.3 Npcf_AMPolicyAuthorization_Update service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
14,"What are the conditions that must be met for a UAV to operate beyond line-of-sight or at night under the special program launched by the Korean government, and how might these conditions evolve in the future with advancements in technology?","To operate a UAV beyond line-of-sight or at night, several conditions must be met. The UAV must be equipped with lights for collision-avoidance purposes that are visible up to 5 kilometers away. It should have support for auto-pilot functionality and more than one way of communication channel. Observers who can monitor the UAV should be dispatched if the operator controls it out of line-of-sight. As technology advances, these conditions may evolve or relax.","The special program mandates specific conditions, including equipping the UAV with high-visibility lights for safety, ensuring it has auto-pilot capabilities and multiple communication channels. Observers are required to monitor the UAV when it's not in the operator's direct sight. Looking ahead, advancements could lead to these requirements being modified or eased.","The Korean government's initiative allows for UAV operations beyond visual line-of-sight under certain prerequisites. These include the installation of lights on the UAV to prevent collisions, which must be visible from a distance of up to 5 kilometers. The UAV should support autonomous flight and possess multiple means of communication. When the UAV is operated out of sight, observers are required to keep it under surveillance. As technology progresses, these stipulations may undergo changes or become less stringent.",3GPP TS 22.825,5.8.1 Description,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
15,"What are some strategies for improving the clarity and challenge of questions in a telecom-related context, and how can these strategies be applied to create more effective assessments?","To improve the clarity and challenge of questions, consider incorporating specific telecom-related concepts and terminology. This can include using technical terms like '5G systems' and 'data processing' to add depth and relevance to the question.","One strategy for improving the clarity and challenge of questions is to focus on real-world scenarios and applications. This can involve creating questions that ask test-takers to apply their knowledge in a practical way, such as by providing examples or case studies from telecom networks.","To improve the clarity and challenge of questions, consider using a variety of question types and formats. This can include multiple-choice questions, short-answer questions, and essay questions, each of which can be used to assess different aspects of test-takers' knowledge and understanding.",3GPP TS 33.501,V.1.2 Relationship between end-users and subscriber,SA WG3,"3GPP Series : 33 , Security aspects"
16,"What is the significance of ControlResourceSetId = 0 in a serving cell, and how does it impact resource allocation and management across different bandwidth parts (BWPs) and multi-beam coordination (MBS) configurations? Please provide specific examples or scenarios that illustrate its importance.","The ControlResourceSetId = 0 is crucial for identifying the primary control resource set within a serving cell. This identifier ensures seamless coordination across different bandwidth parts (BWPs) and multi-beam coordination (MBS) configurations of the serving cell, facilitating efficient resource allocation and management. For instance, in a scenario where multiple BWPs are configured with varying MBS settings, ControlResourceSetId = 0 provides a common reference point for resource allocation, ensuring that resources are allocated optimally across all BWPs.","The assignment of ControlResourceSetId = 0 signifies a default or primary control resource set within a serving cell. This designation is crucial for maintaining consistency in configuration across the network, as it ties together settings from both PBCH and ServingCellConfigCommon's controlResourceSetZero. The use of this identifier ensures that all bandwidth parts (BWPs) and multi-beam coordination (MBS) configurations within a serving cell can reference a common baseline for resource management, thereby enhancing network performance and reliability.","From an operational perspective, ControlResourceSetId = 0 serves as a foundational element in the configuration of a serving cell's control resources. By linking directly to ControlResourceSet#0, this identifier provides a unified point of reference for all bandwidth parts (BWPs) and multi-beam coordination (MBS) configurations. This unification is key to ensuring that resource allocation and management strategies are consistently applied across the serving cell's various operational components, thereby optimizing network efficiency and user experience.",3GPP TS 38.331,– ControlResourceSetId,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
17,How does a UE determine non-preferred resources for sidelink communication in IUC Scheme 1?,A UE determines the set of non-preferred resources by identifying the resources reserved by other UEs or slots where it does not expect to perform sidelink reception from the peer UE due to half-duplex operation.,A UE identifies non-preferred resources for sidelink communication by considering two main factors: resources reserved by other UEs and slots where it cannot perform SL reception due to half-duplex constraints.,"A User Equipment (UE) determines non-preferred resources by analyzing two key aspects. Firstly, it identifies resources that are already reserved by other UEs, which would cause conflicts or inefficiencies if used for SL transmission. Secondly, it considers slots where the UE itself is the intended receiver of the peer UE and cannot perform SL reception due to half-duplex operation limitations.",3GPP TS 38.300,16.9.8 Inter-UE Coordination (IUC),RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
18,What are the conditions under which a gNB may release or deactivate a cell DTX/DRX configuration to ensure no impact on emergency calls or public safety related services?,"A gNB may release or deactivate a cell DTX/DRX configuration when it recognizes an emergency call or public safety-related service, such as Mission-Critical Push-to-Talk (MCPTT) or Mission-Critical Video (MCVideo), to ensure that these critical services are not impacted.","The gNB may release or deactivate a cell DTX/DRX configuration when it detects an MPS (Mission-Critical Push-to-Talk) or MCS (Mission-Critical Video) service, as these services require uninterrupted communication.","To ensure no impact on emergency calls or public safety-related services like MPS or MCS, a gNB may release or deactivate a cell DTX/DRX configuration when it identifies an incoming emergency call or detects that a UE is engaged in a critical communication.",3GPP TS 38.300,15.4.2.3 Cell DTX/DRX,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
19,What is the primary purpose of the congestion level information element in describing the congestion status of a call?,"The primary purpose of the congestion level information element is to provide a standardized way to convey the current congestion status of a call within the mobile network, allowing for efficient management of network resources and ensuring that calls are handled appropriately based on their priority and available bandwidth.","The congestion level information element enables the accurate description of a call's congestion status, allowing the network to dynamically adjust its handling of calls to mitigate congestion, thereby enhancing overall network performance and user experience.","The congestion level information element offers a quantifiable measure of the current congestion experienced by a call within the mobile network, enabling precise control over call routing, resource allocation, and priority assignment, ultimately leading to optimized network utilization and minimized congestion-related issues.",3GPP TS 24.008,10.5.4.12 Congestion level,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
20,"What is the significance of including the MCC and MNC when allocating a Temporary Mobile Group Identity (TMGI) to an MBMS Bearer Service, and how are these identities coded in relation to the TMGI octets?",Including the Mobile Country Code (MCC) and Mobile Network Code (MNC) ensures that the TMGI is unique across different Public Land Mobile Networks (PLMNs). This uniqueness is crucial for proper routing and identification of MBMS Bearer Services. The MCC and MNC are coded within specific octets of the TMGI to maintain this uniqueness and facilitate efficient network operations.,"The inclusion of MCC and MNC allows for the identification of the service at both the country and network levels, essential for interworking between different PLMNs and packet data networks. The coding of these identities within specific TMGI octets follows a standardized structure, enabling consistent interpretation and processing by network elements.","Including the MCC and MNC in the TMGI allocation process simplifies service management and troubleshooting. By embedding country and network identifiers directly into the TMGI, operators can more easily track and manage services. The standardized coding of these identifiers within the TMGI ensures consistent formatting and accessibility across different network components and systems.",3GPP TS 29.274,8.89 Temporary Mobile Group Identity (TMGI),CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
21,"How does a User Equipment (UE) autonomously pre-compensate for the Round-Trip Time (RTT) between itself and the gNB when connecting to an Access Traffic Gateway (ATG) cell, given that it has valid Global Navigation Satellite System (GNSS) position and gNB location information?","The UE uses its valid GNSS position and the broadcasted coarse gNB location information to compute the RTT between itself and the gNB. This computation is based on the known positions of both the UE and the gNB, allowing the UE to estimate the distance and subsequently calculate the RTT. With this calculated RTT value, the UE can then autonomously pre-compensate for it by adjusting its transmission timing accordingly.","To autonomously pre-compensate for the RTT, the UE leverages both its valid GNSS position and the gNB location parameters broadcasted by the network. By combining these two pieces of information, the UE can determine the distance between itself and the gNB. Knowing this distance allows the UE to estimate the time it takes for a signal to travel from the UE to the gNB and back (the RTT). The UE then uses this estimated RTT value to adjust its transmission timing in advance, effectively pre-compensating for the delay before establishing or during connection to an ATG cell.","The process of autonomous pre-compensation for RTT by a UE involves utilizing both its precise location obtained through GNSS and the coarse gNB location information broadcasted by the network. By applying these inputs, the UE performs calculations to estimate the distance between itself and the serving gNB. This calculated distance is then used to determine the RTT, taking into account the speed of signal propagation. Once the RTT is estimated, the UE adjusts its transmission timing advance (TTA) accordingly, ensuring that data transmissions are synchronized with the gNB's expectations despite the physical distance between them.",3GPP TS 38.300,16.19.2.2 Timing Advance,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
22,What is the primary purpose of the 'Cause of No CLI' information element?,"The 'Cause of No CLI' information element notifies the User Equipment about the specific reason why the Calling Party's BCD number is not being notified, allowing the UE to understand and potentially act upon this information.","The primary purpose of the 'Cause of No CLI' information element is to provide transparency to the User Equipment regarding the non-delivery of Calling Line Identification information, conveying the detailed reason for the absence of the caller's number.",The 'Cause of No CLI' information element ensures interoperability across different network implementations by providing a standardized method for communicating to User Equipment why Calling Line Identification cannot be provided.,3GPP TS 24.008,10.5.4.30 Cause of No CLI,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
23,"What specific information does the GSM BSS request from the MS during an intersystem handover to UTRAN, and how is this information used by the target UMTS RNC to ensure seamless continuation of communication in ciphered mode?","The GSM BSS requests the MS to send its UMTS capability information, which includes details on the START values and UMTS security capabilities of the MS. This information is necessary for the target UMTS RNC to select the appropriate ciphering mode and ensure seamless continuation of communication in ciphered mode after the handover.","The GSM BSS requests the MS to provide its UMTS capability information, including START value information and supported/allowed UMTS algorithms. This information is transmitted within the system infrastructure before the actual handover is executed, enabling the target UMTS RNC to select the correct ciphering mode and maintain secure communication.","The GSM BSS requests the MS to send its UE security capability information, which includes details on the START values and UMTS security capabilities of the MS. This information is used by the Serving RNC to initiate the RRC security mode control procedure after the handover, ensuring that the communication continues in ciphered mode with integrity protection of signalling messages.",3GPP TS 33.102,6.8.5 Intersystem handover for CS Services – from GSM BSS to UTRAN,SA WG3,"3GPP Series : 33 , Security aspects"
24,"What is the condition for determining the wideband CQI index for codeword #1 in a UE Category ≥2, using the reported offset level of the wideband spatial differential CQI for codeword #1, and how often should this condition be met?",The condition for determining the wideband CQI index for codeword #1 is that it should be within a specific range for more than 90% of the time. This means that at least 90% of the reported wideband CQI values for codeword #1 should fall within this range.,"The condition is met when the reported offset level of the wideband spatial differential CQI for codeword #1 is used to determine the wideband CQI index, and the resulting value falls within a specific range. Specifically, the wideband CQI1 should be equal to the wideband CQI0 minus the Codeword 1 offset level, and this value should be within a certain range for more than 90% of the time.","The condition requires that the wideband CQI index for codeword #1 is determined using the reported offset level of the wideband spatial differential CQI, and this value should be within a specific range with high frequency. Specifically, more than 90% of the time, the reported wideband CQI values for codeword #1 should fall within this range, indicating a stable and reliable channel quality indication.",3GPP TS 36.101,9.2.3.1A FDD (With channelMeasRestriction configured),RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
25,"What role does the CLIR invocation information element play in SETUP messages sent by User Equipment to the network, and how does it impact supplementary services related to line identification?","The CLIR invocation information element enables the User Equipment (UE) to request the activation of Calling Line Identification Restriction supplementary service. This service allows the calling party to control the presentation of their line identification to the called party, providing an additional level of privacy and security for the user.","The inclusion of the CLIR invocation information element in SETUP messages is essential for supporting supplementary services related to line identification. This information element enables the UE to signal its requirements to the network, which can then take appropriate actions to fulfill these requirements.","The CLIR invocation information element plays a key role in enabling User Equipment to interact with supplementary services defined in telecom specifications. This interaction allows the UE to customize its behavior and adapt to different scenarios, such as restricting line identification for specific calls or users.",3GPP TS 24.008,10.5.4.11b CLIR invocation,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
26,"What is the significance of Bit 3 (SRUDN) being set to '1' in the Secondary RAT Usage Data Report IE, and how does it impact the presence of other fields in the report?","When Bit 3 (SRUDN) is set to '1', it indicates that the Length of Secondary RAT Data Usage Report Transfer and Secondary RAT Data Usage Report Transfer fields are present in the report. This means that the IRPGW bit must also be set to '1', and octets 8 to 31 will be set to '0'. The presence of these fields is crucial for accurate reporting of secondary RAT usage data.","The significance of Bit 3 (SRUDN) being set to '1' lies in its role as a flag that determines the structure of the Secondary RAT Usage Data Report IE. When SRUDN is set to '1', it signals the presence of additional fields, specifically the Length of Secondary RAT Data Usage Report Transfer and Secondary RAT Data Usage Report Transfer fields.","When Bit 3 (SRUDN) is set to '1', it implies that the Secondary RAT Data Usage Report Transfer field will be encoded with a transparent copy of the NGAP IE Secondary RAT Data Usage Report Transfer. This has implications for how the report is generated and transmitted, as well as how it is stored and forwarded.",3GPP TS 29.274,8.132 Secondary RAT Usage Data Report,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
27,"In intra-band contiguous and non-contiguous carrier aggregation scenarios, how is the Error Vector Magnitude (EVM) requirement defined for each component carrier in terms of Physical Resource Block (PRB) allocation and transmitter impairment removal procedures?","For intra-band contiguous and non-contiguous carrier aggregation, the EVM requirement is defined for each component carrier with PRB allocation in one of the component carriers. This definition involves applying transmitter impairment removal procedures to ensure accurate EVM calculation.","Intra-band contiguous and non-contiguous carrier aggregation scenarios require a nuanced understanding of EVM requirements. The EVM requirement for each component carrier is defined when PRB allocation occurs in one of the component carriers, taking into account the specific characteristics of the waveform configuration.","The Error Vector Magnitude (EVM) requirement for each component carrier in intra-band contiguous and non-contiguous carrier aggregation scenarios is a critical aspect of ensuring reliable communication. The EVM requirement is defined based on PRB allocation in one of the component carriers, which involves considering various parameters that impact signal quality.",3GPP TS 36.101,6.5.2A.1 Error Vector Magnitude,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
