name,full_form,entity_type,Comments(V/U/I),context,description,explanation,Document_number,Section_title,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Comment,document_number
DETACH ACCEPT,Detach Accept Message,Message,V,"When the DETACH REQUEST message is received by the network, a DETACH ACCEPT message shall be sent to the UE, if the Detach type IE does not indicate ""switch off"". Otherwise, the procedure is completed when the network receives the DETACH REQUEST message.
Depending on the value of the Detach type IE the following applies:
-	combined EPS/IMSI detach:
The network and the UE shall deactivate the EPS bearer context(s) for this UE locally without peer-to-peer signalling between the UE and the MME. The UE is marked as inactive in the network for EPS and for non-EPS services. The states EMM-DEREGISTERED and MM-NULL are entered in both the UE and the network.
-	IMSI detach:
The UE is marked as inactive in the network for non-EPS services. The states MM-NULL and EMM-REGISTERED are entered in both the UE and the network.
The UE, when receiving the DETACH ACCEPT message, shall stop timer T3421.","The DETACH ACCEPT message is sent by the network in response to a DETACH REQUEST from the UE, indicating that the detach procedure has been accepted.",Categorized as a Message since it's a signaling message exchanged between the network and the UE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
ASA,Abort-Session-Answer,Message,V,"The Abort-Session-Answer (ASA) command, defined in IETF RFC 6733 (DIAMETER BASE) [111], is indicated by the Command-Code set to 274 and the message flags’ ‘R’ bit clear, is sent in response to the ASR. The relevant AVPs that are of use for the Gmb interface are detailed in the ABNF description below. Other valid AVPs for this command are not used for Gmb purposes and should be ignored by the receiver or processed according to the relevant specifications. Message Format <ASA> ::= < Diameter Header: 274, PXY > < Session-Id > { Result-Code } { Origin-Host } { Origin-Realm } [ Origin-State-Id ] [ Error-Message ] [ Error-Reporting-Host ] [ Failed-AVP ] * [ Redirected-Host ] [ Redirected-Host-Usage ] [ Redirect-Max-Cache-Time ] * [ Proxy-Info ]",The Abort-Session-Answer (ASA) is a Diameter message used in response to the Abort-Session-Request (ASR). It is defined by the Command-Code 274 and has specific Attribute Value Pairs (AVPs) relevant to the Gmb interface. The ASA message is crucial for managing sessions and providing feedback on the outcome of session abortion requests.,"ASA is classified as a Message because it represents a specific type of signaling data exchanged between network components, in this case, related to Diameter protocol interactions for session management.",3GPP TS 29.061,17.6.8 Abort-Session-Answer Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DETACH REQUEST,Detach Request Message,Message,V,"The following abnormal cases can be identified:
a)        Lower layer failure
Upon detection of a lower layer failure before the IDENTITY RESPONSE is received, the network shall abort any ongoing EMM procedure.
b)        Expiry of timer T3470
The identification procedure is supervised by the network by the timer T3470. The network shall, on the first expiry of the timer T3470, retransmit the IDENTITY REQUEST message and reset and restart the timer T3470. This retransmission is repeated four times, i.e. on the fifth expiry of timer T3470, the network shall abort the identification procedure and any ongoing EMM procedure.
c)        Collision of an identification procedure with an attach procedure
If the network receives an ATTACH REQUEST message before the ongoing identification procedure has been completed and no attach procedure is pending on the network (i.e. no ATTACH ACCEPT/REJECT message has still to be sent as an answer to an ATTACH REQUEST message), the network shall proceed with the attach procedure.
d)        Collision of an identification procedure with an attach procedure when the identification procedure has been caused by an attach procedure
If the network receives an ATTACH REQUEST message before the ongoing identification procedure has been completed and an attach procedure is pending (i.e. an ATTACH ACCEPT/REJECT message has to be sent as an answer to an earlier ATTACH REQUEST message), then:
-        If one or more of the information elements in the ATTACH REQUEST message differ from the ones received within the previous ATTACH REQUEST message, the network shall proceed with the new attach procedure; or
-        If the information elements do not differ, then the network shall not treat any further this new ATTACH REQUEST.
e)        Collision of an identification procedure with a UE initiated detach procedure
Detach containing cause ""switch off"" within the Detach type IE:
If the network receives a DETACH REQUEST message before the ongoing identification procedure has been completed, the network shall abort the identification procedure and shall progress the detach procedure.
Detach containing other causes than ""switch off"" within the Detach type IE:
If the network receives a DETACH REQUEST message before the ongoing identification procedure has been completed, the network shall complete the identification procedure and shall respond to the detach procedure as described in clause 5.5.2.
f)        Collision of an identification procedure with a tracking area updating procedure
If the network receives a TRACKING AREA UPDATE REQUEST message before the ongoing identification procedure has been completed, the network shall progress both procedures.
g)        Collision of an identification procedure with a service request procedure
If the network receives an EXTENDED SERVICE REQUEST message for CS fallback or 1xCS fallback before the ongoing identification procedure has been completed, the network shall progress both procedures.
h)        Lower layers indication of non-delivered NAS PDU due to handover
If the IDENTITY REQUEST message could not be delivered due to an intra MME handover and the target TA is included in the TAI list, then upon successful completion of the intra MME handover the MME shall retransmit the IDENTITY REQUEST message. If a failure of the handover procedure is reported by the lower layer and the S1 signalling connection exists, the MME shall retransmit the IDENTITY REQUEST message.","The DETACH REQUEST message is sent by the UE to initiate a detach procedure, which may collide with ongoing identification procedures.",Categorized as a Message because it initiates communication between network entities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
ACTIVATE PDP CONTEXT REQUEST,Activate PDP Context Request Message,Message,V,"An MS configured for NAS signalling low priority (see 3GPP TS 24.368 [135], 3GPP TS 31.102 [112]) indicates this by including the Device properties IE in the appropriate NAS message and setting the low priority indicator to ""MS is configured to NAS signalling low priority"" except for the following cases in which the MS shall set the low priority indicator to ""MS is not configured for NAS signalling low priority"": - the MS is performing an attach for emergency bearer services; - the MS has a PDN connection for emergency bearer services established and is performing mobility management procedures, or is establishing a PDN connection for emergency bearer services; - the MS configured for dual priority is requested by the upper layers to establish a PDN connection with the low priority indicator set to ""MS is not configured for NAS signalling low priority""; - the MS configured for dual priority is performing session management procedures related to the PDN connection established with low priority indicator set to ""MS is not configured for NAS signalling low priority""; - the MS configured for dual priority has a PDN connection established by setting the low priority indicator to ""MS is not configured for NAS signalling low priority"" and is performing mobility management procedures; - the MS is establishing or re-establishing an MM connection for an emergency call; - the MS is an MS configured to use AC11 – 15 in selected PLMN; or - the MS is responding to paging. The network may use the NAS signalling low priority indication for NAS level mobility management congestion control on a per core network node basis and APN based congestion control. If the NAS signalling low priority indication is provided in an ACTIVATE PDP CONTEXT REQUEST message, the SGSN stores the NAS signalling low priority indication within the default PDP context activated due to this request.",The ACTIVATE PDP CONTEXT REQUEST message is used to activate a PDP context in the SGSN. It may include the NAS signalling low priority indication.,Classified as a Message because it is a specific type of signaling message used for activating PDP contexts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
CR,Change Request,Message,V,"When a 3GPP member company identifies the need for a new sub-domain name of "".3gppnetwork.org"", that 3GPP member company shall propose a CR to this specification at the earliest available meeting of the responsible working group for this TS. The CR shall propose a new sub-domain name. The new sub-domain proposed shall be formatted in one of the formats as described in the following table. Table E.1: Sub-domain formats for the ""3gppnetwork.org"" domain and their respective intended usage NOTE 1: ""<service_ID>"" is a chosen label, conformant to DNS naming conventions (usually IETF RFC 1035 [19] and IETF RFC 1123 [20]) that clearly and succinctly describe the service and/or operation that is intended to use this sub-domain. NOTE 2: ""<MNC>"" and ""<MCC>"" are the MNC (padded to the left with a zero, if only a 2-digit MNC) and MCC of a PLMN. NOTE 3: ""NID"", ""<MNC>"" and ""<MCC>"" are the NID (hexadecimal digits as specified in clause 12.7), MNC (padded to the left with a zero, if only a 2-digit MNC) and MCC identifying a Stand-alone Non-Public Network (SNPN). Care should be taken when choosing which format a domain name should use. Once a format has been chosen, the responsible working group shall then check the CR and either endorse it or reject it. If the CR is endorsed, then the responsible working group shall send an LS to the GSMA NG with TSG-CT in copy. The LS shall describe the following key points: - the context - the service - intended use - involved actors - proposed new sub-domain name GSMA NG will then verify the consistence of the proposal and its usage within the domain's structure and interworking rules (e.g. access to the GRX/IPX Root DNS servers). GSMA NG will then endorse or reject the proposal and inform the responsible working group (in 3GPP) and also TSG CT. It is possible that GSMA NG will also specify, changes to the newly proposed sub-domain name (e.g. due to requested sub-domain name already allocated). NOTE 4: There is no need to request GSMA NG for new labels to the left of an already GSMA NG approved ""<service_ID>"". It is the responsibility of the responsible working group to ensure uniqueness of such new labels. It should be noted that services already defined to use the "".gprs"" domain name will continue to do so and shall not use the new domain name of "".3gppnetwork.org""; this is to avoid destabilising services that are already live.","A Change Request (CR) in the context of 3GPP refers to a formal proposal submitted by a member company for modifications or additions to existing specifications, including the introduction of new sub-domain names under the '.3gppnetwork.org' domain. This process involves careful consideration and validation by the responsible working group and GSMA NG to ensure consistency and avoid conflicts within the domain structure.","CR is categorized as Miscellaneous because it represents a procedural aspect within the 3GPP's standardization process, focusing on the management of change requests rather than fitting neatly into categories like Network Function or Protocol. It involves a specific set of steps and considerations for proposing and validating changes to specifications and domain names.",3GPP TS 23.003,Annex E (normative): Procedure for sub-domain allocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detach,Detach Type Information Element,Message,V,"The purpose of the Detach type information element is to indicate the type of detach.
The Detach type information element is coded as shown in figure 9.9.3.7.1 and table 9.9.3.7.1.
The Detach type is a type 1 information element.
Figure 9.9.3.7.1: Detach type information element
Table 9.9.3.7.1: Detach type information element",The Detach type information element indicates the type of detach and is a type 1 information element. It provides critical signaling for network operations.,Categorized as a Message because it carries specific data or signaling between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
CONTROL PLANE SERVICE REQUEST,Control Plane Service Request Message,Message,V,"The use of ciphering in a network is an operator option subject to MME configuration. When operation of the network without ciphering is configured, the MME shall indicate the use of ""null ciphering algorithm"" EEA0 (see clause 9.9.3.23) in the current security context for all UEs. For setting the security header type in outbound NAS messages, the UE and the MME shall apply the same rules irrespective of whether the ""null ciphering algorithm"" or any other ciphering algorithm is indicated in the security context.
When the UE establishes a new NAS signalling connection, it shall send the initial NAS message
-	partially ciphered, if it is a CONTROL PLANE SERVICE REQUEST message including an ESM message container information element or a NAS message container information element; and
-	unciphered, if it is any other initial NAS message.
The UE shall partially cipher the CONTROL PLANE SERVICE REQUEST message by ciphering the value part of the ESM message container IE or the value part of the NAS message container, using the ciphering algorithm of the current EPS security context.
The UE shall send the ATTACH REQUEST message always unciphered.
The UE shall send the TRACKING AREA UPDATE REQUEST message always unciphered.
Except for the CONTROL PLANE SERVICE REQUEST message including an ESM message container information element or a NAS message container information element, the UE shall start the ciphering and deciphering of NAS messages when the secure exchange of NAS messages has been established for a NAS signalling connection. From this time onward, unless explicitly defined, the UE shall send all NAS messages ciphered until the NAS signalling connection is released, or the UE performs intersystem handover to A/Gb mode or Iu mode.
The MME shall start ciphering and deciphering of NAS messages as described in clause 4.4.2.3. From this time onward, except for the SECURITY MODE COMMAND message, the MME shall send all NAS messages ciphered until the NAS signalling connection is released, or the UE performs intersystem handover to A/Gb mode or Iu mode.
Once the encryption of NAS messages has been started between the MME and the UE, the receiver shall discard the unciphered NAS messages which shall have been ciphered according to the rules described in this specification. The MME shall discard any CONTROL PLANE SERVICE REQUEST message including an ESM message container information element or a NAS message container information element which has not been partially ciphered according to the rules described above.
If the ""null ciphering algorithm"" EEA0 has been selected as a ciphering algorithm, the NAS messages with the security header indicating ciphering are regarded as ciphered.
Details of ciphering and deciphering of NAS signalling messages are specified in 3GPP TS 33.401 [19].",This message is sent by the UE to request control plane services from the MME.,Categorized as a Message because it is used for communication between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
APN-AMBR IE,Access Point Name-Aggregate Maximum Bit Rate Information Element,Message,U,"The purpose of the APN aggregate maximum bit rate information element is to indicate the initial subscribed APN-AMBR when the UE establishes a PDN connection or to indicate the new APN-AMBR if it is changed by the network.
The APN aggregate maximum bit rate information element is coded as shown in figure 9.9.4.2.1 and table 9.9.4.2.1.
The APN aggregate maximum bit rate is a type 4 information element with a minimum length of 4 octets and a maximum length of 8 octets. Octets 5-8 are optional. If octet 5 is included, then octet 6 shall also be included, and octets 7-8 may be included. If octet 7 is included, then octet 8 shall also be included. The length of the APN-AMBR IE can be either 4 octets, 6 octets or 8 octets.
Figure 9.9.4.2.1: APN aggregate maximum bit rate information element
Table 9.9.4.2.1: APN aggregate maximum bit rate information element","The APN-AMBR IE is a type 4 information element used to convey the APN-AMBR when establishing or modifying PDN connections. It has a variable length of 4, 6, or 8 octets.",Categorized as al Message entity type because it is part of the signaling information exchanged between network elements during a communication session. Here’s why it fits this classification:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
ABORT,ABORT Message,Message,V,The abort procedure may be invoked by the network to abort any on-going MM connection establishment or already established MM connection. The mobile station shall treat ABORT message as compatible with current protocol state only if it is received when at least one MM connection exists or an MM connection is being established.,"The ABORT message is sent by the network to initiate the Abort procedure, signaling the termination of an ongoing or established Mobile Management (MM) connection.",Classified as a Message because it represents specific data or signaling used in the Abort procedure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
ACKNOWLEDGE,Acknowledgement,Message,V,"A user may cause a DTMF tone to be generated e.g. by depression of a key in the mobile station. The relevant action is interpreted by the mobile station as a requirement for a DTMF digit to be sent in a START DTMF message on an established FACCH. This message contains the value of the digit to be transmitted (0, 1, ..., 9, A, B, C, D, *, #). Only a single digit will be transferred in each START DTMF message. On sending a START DTMF message the MS shall start timer T336. Where a previous START DTMF message has been sent, another START DTMF message shall only be sent by the MS following receipt of its STOP DTMF ACKNOWLEDGE message (see subclause 5.5.7.4) or a START DTMF REJECT message from the network (see subclause 5.5.7.2) or following the expiry of timers T336 and T337. If timer T336 expires, the MS shall terminate the ongoing DTMF procedure without any retransmissions, and is free to begin another DTMF procedure (e.g. another START DTMF message).","The ACKNOWLEDGE message in the context of DTMF procedures is a response from the network to the mobile station, indicating that it has received and processed the previous START DTMF message. This acknowledgement allows the mobile station to proceed with sending another START DTMF message or terminate the ongoing DTMF procedure.","ACKNOWLEDGE is classified as a Message because it represents a specific signaling data exchanged between the network and the mobile station, serving as a confirmation of the receipt and processing of the previous START DTMF message. This classification aligns with the context provided in the 3GPP TS 24.008 specification regarding the mobile radio interface layer 3 protocol.",3GPP TS 24.008,5.5.7.1 Start DTMF request by the mobile station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTACH ACCEPT,Attach Accept Message,Message,V,"The value of timer T3402 can be sent by the network to the UE in the ATTACH ACCEPT message and TRACKING AREA UPDATE ACCEPT message. If the value is different from ""deactivated"", the UE shall apply this value in all tracking areas of the list of tracking areas assigned to the UE, until a new value is received.
The value of timer T3402 can be sent by the network to the UE in the ATTACH REJECT message. If an ATTACH REJECT message including timer T3402 value different from ""deactivated"", was received integrity protected, the UE shall apply this value until a new value is received with integrity protection or a new PLMN is selected. Otherwise, the default value of this timer is used.
The default value of this timer is also used by the UE in the following cases:
-	ATTACH ACCEPT message or TRACKING AREA UPDATE ACCEPT message is received without a value specified, and the EPS update type in the TRACKING AREA UPDATE REQUEST message is not set to ""periodic updating"";
-	the network indicates that the timer is ""deactivated"";
-	the UE does not have a stored value for this timer;
-	a new PLMN which is not in the list of equivalent PLMNs has been entered, the tracking area updating fails and the tracking area updating attempt counter is equal to 5; or
-	a new PLMN which is not in the list of equivalent PLMNs has been entered, the attach procedure fails, the attach attempt counter is equal to 5 and no ATTACH REJECT message was received from the new PLMN.","The Attach Accept message is used to inform the UE that its attach request has been accepted, and it may include a value for timer T3402.",Categorized as a Message because it carries information from the network to the UE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
BEARER RESOURCE ALLOCATION REJECT,Bearer Resource Allocation Reject,Message,V,"This message is sent by the network to the UE to reject the allocation of a dedicated bearer resource. See table 8.3.7.1.
Message type:	BEARER RESOURCE ALLOCATION REJECT
Significance:	dual
Direction:	network to UE
Table 8.3.7.1: BEARER RESOURCE ALLOCATION REJECT message content","The BEARER RESOURCE ALLOCATION REJECT message is sent from the network to the UE, indicating rejection of a dedicated bearer resource allocation request.",Categorized as a Message because it represents specific data or signaling exchanged between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
DOWNLINK NAS TRANSPORT,Downlink Non-Access Stratum Transport,Message,V,"The network initiates the procedure by sending a DOWNLINK NAS TRANSPORT message. When receiving the DOWNLINK NAS TRANSPORT message, the EMM entity in the UE shall forward the contents of the NAS message container IE to the SMS entity.
NOTE:	When the UE is using for EPS services with control plane CIoT EPS optimization, the network can initiate downlink transport of NAS messages procedure even if the UE does not any PDN connections established.",The DOWNLINK NAS TRANSPORT message is used by the network to initiate the procedure of transporting NAS messages to the UE. This message contains a NAS message container IE that needs to be forwarded to the SMS entity in the UE.,Categorized as a Message because it is a specific data or signaling sent between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
AUTHENTICATION REQUEST message,"Not explicitly defined in this text snippet, but refers to a request for authentication",Message,V,"The mobile station shall be ready to respond upon an AUTHENTICATION REQUEST message at any time whilst a RR connection exists. With exception of the cases described in subclause 4.3.2.5.1, it shall process the challenge information and send back an AUTHENTICATION RESPONSE message to the network. If a SIM is inserted in the MS, the MS shall ignore the Authentication Parameter AUTN IE if included in the AUTHENTICATION REQUEST message and shall proceed as in case of a GSM authentication challenge. It shall not perform the authentication of the network described in subclause 4.3.2.5.1. In a GSM authentication challenge, the new GSM ciphering key calculated from the challenge information shall overwrite the previous GSM ciphering key and any previously stored UMTS ciphering key and UMTS integrity key shall be deleted. The new GSM ciphering key shall be stored on the SIM/USIM together with the ciphering key sequence number. In a UMTS authentication challenge, the new UMTS ciphering key, the new GSM ciphering key and the new UMTS integrity key calculated from the challenge information shall overwrite the previous UMTS ciphering key, GSM ciphering key and UMTS integrity key. The new UMTS ciphering key, GSM ciphering key and UMTS integrity key are stored on the USIM together with the ciphering key sequence number. Furthermore, in A/Gb mode when after the authentication procedure an A5 ciphering algorithm that requires a 128-bit ciphering key is taken into use, then a new GSM Kc128 shall also be calculated as described in the subclause 4.3.2.3a. The SIM/USIM will provide the mobile station with the authentication response, based upon the authentication challenge given from the ME. A UMTS authentication challenge will result in the USIM passing a RES to the ME. A GSM authentication challenge will result in the SIM/USIM passing a SRES to the ME. A ME supporting UMTS authentication challenge may support the following procedure: In order to avoid a synchronisation failure, when the mobile station receives an AUTHENTICATION REQUEST message, the mobile station shall store the received RAND together with the RES returned from the USIM in the volatile memory and associate it with CS domain. When the MS receives a subsequent AUTHENTICATION REQUEST message, if the stored RAND value for the CS domain is equal to the new received value in the AUTHENTICATION REQUEST message, then the mobile station shall not pass the RAND to the USIM, but shall immediately send the AUTHENTICATION RESPONSE message with the stored RES for the CS domain. If, for the CS domain, there is no valid stored RAND in the mobile station or the stored RAND is different from the new received value in the AUTHENTICATION REQUEST message, the mobile station shall pass the RAND to the USIM, shall override any previously stored RAND and RES with the new ones and start, or reset and restart timer T3218. The RAND and RES values stored in the mobile station shall be deleted and timer T3218, if running, shall be stopped: - upon receipt of a SECURITY MODE COMMAND (Iu mode only), CIPHERING MODE COMMAND (A/Gb mode only), CM_SERVICE_ACCEPT, CM_SERVICE_REJECT, LOCATION_UPDATING_ACCEPT or AUTHENTICATION REJECT message; - upon expiry of timer T3218; or - if the mobile station enters the MM state MM IDLE or NULL.",The AUTHENTICATION REQUEST message is sent by the network to the UE to initiate an authentication process.,Classified as a Message since it represents a specific type of communication between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
CSFB response,Circuit Switched Fallback Response,Message,V,"The purpose of the CSFB response information element is to indicate whether the UE accepts or rejects a paging for CS fallback.
The CSFB response information element is coded as shown in figure 9.9.3.5.1 and table 9.9.3.5.1.
The CSFB response is a type 1 information element.
Figure 9.9.3.5.1: CSFB response information element
Table 9.9.3.5.1: CSFB response information element","The CSFB response information element is sent by the UE in response to a paging for CS fallback, indicating whether it accepts or rejects the request. This message contains crucial information necessary for further call handling procedures.",Categorized as a Message because it carries specific data (acceptance or rejection) between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
ATTACH COMPLETE,Attach Complete Message,Message,V,"No exceptional cases are described for mobility management messages.
No semantical or syntactical diagnosis other than presence and length shall be performed on the ESM message container information element in the ATTACH REQUEST, ATTACH ACCEPT, ATTACH COMPLETE and CONTROL PLANE SERVICE REQUEST messages.","The ATTACH COMPLETE message is a signaling message used in EPS networks, confirming the completion of the UE attachment process.",Categorized as Message because it represents specific data or signaling exchanged between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
AUTHENTICATION REQUEST,Authentication Request Message,Message,V,"The network initiates the authentication procedure by transferring an AUTHENTICATION REQUEST message across the radio interface and starts the timer T3260. The AUTHENTICATION REQUEST message contains the parameters necessary to calculate the response parameters (see 3GPP TS 43.020 [13] (in case of GSM authentication challenge) and 3GPP TS 33.102 [5a] (in case of an UMTS authentication challenge)). In a GSM authentication challenge, the AUTHENTICATION REQUEST message also contains the GSM ciphering key sequence number allocated to the key which may be computed from the given parameters. In a UMTS authentication challenge, the AUTHENTICATION REQUEST message also contains the ciphering key sequence number allocated to the key set of UMTS ciphering key, UMTS integrity key and GSM ciphering key which may be computed from the given parameters. Furthermore, the ciphering key sequence number is also linked to a GSM Kc128 if after the authentication procedure the network in A/Gb mode selects an A5 ciphering algorithm that requires a 128-bit ciphering key.","The AUTHENTICATION REQUEST message is sent by the network to initiate the authentication procedure. It contains parameters necessary for calculating response parameters and, in some cases, ciphering key sequence numbers.",Categorized as a Message because it is a specific data or signaling sent between network components to initiate an action.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
DOWNLINK GENERIC NAS TRANSPORT,,Message,V,"Upon request from an application to send a message encapsulated in the generic transport of NAS message, the EMM entity in the MME initiates the procedure by sending a DOWNLINK GENERIC NAS TRANSPORT message including the corresponding message in the generic message container IE. The application may also request additional information to be included in the DOWNLINK GENERIC NAS TRANSPORT message in the Additional information IE. The content, coding and interpretation of this information element are dependent on the particular application.
The MME shall indicate the application protocol using the generic transport in the corresponding generic message container type. When receiving the DOWNLINK GENERIC NAS TRANSPORT message, the EMM entity in the UE shall provide the contents of the generic message container IE and the generic message container type IE to the corresponding application. If included, the EMM entity in the UE shall also provide the contents of the Additional information IE.",The DOWNLINK GENERIC NAS TRANSPORT message is used to transport NAS messages from the MME to the UE. It includes a generic message container IE and may contain additional information.,Categorized as a Message since it carries signaling information between network components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GPP TS 24.301
AUTHENTICATION REJECT,Authentication Reject Message,Message,V,"If the authentication response (RES or SRES) is not valid, the network response depends upon the type of identity used by the mobile station in the first message, that is: - the TMSI was used; or - the IMSI was used. If the TMSI has been used, the network may decide to initiate the identification procedure. If the IMSI given by the mobile station then differs from the one the network had associated with the TMSI, the authentication should be restarted with the correct parameters. If the IMSI provided by the MS is the expected one (i.e. authentication has really failed), the network should send an AUTHENTICATION REJECT message to the mobile station. If the IMSI has been used, or the network decides not to try the identification procedure, an AUTHENTICATION REJECT message should be transferred to the mobile station. After having sent this message, all MM connections in progress (if any) are released and the network should initiate the RR connection release procedure described in subclause 3.5.of 3GPP TS 44.018 [84] (A/Gb mode only), 3GPP TS 25.331 [23c] (UTRAN Iu mode only), or in 3GPP TS 44.118 [111] (GERAN Iu mode only). Upon receipt of an AUTHENTICATION REJECT message, a) if the message has been successfully integrity checked by the lower layers, the mobile station shall set the update status in the SIM/USIM to U3 ROAMING NOT ALLOWED, delete from the SIM/USIM the stored TMSI, LAI and ciphering key sequence number. The SIM/USIM shall be considered as invalid until switching off or the SIM/USIM is removed. If the MS maintains a counter for ""SIM/USIM considered invalid for non-GPRS services"", then the MS shall set this counter to MS implementation-specific maximum value. If the MS maintains a counter for ""SIM/USIM considered invalid for GPRS services"", then the MS shall set this counter to MS implementation-specific maximum value. b) if the message is received without integrity protection, then the MS shall start timer T3247 with a random value uniformly drawn from the range between 30 minutes and 60 minutes, if the timer is not running (see subclause 4.1.1.6A). Additionally, the MS shall: - if the MS maintains a counter for ""SIM/USIM considered invalid for non-GPRS services"" events and the counter has a value less than an MS implementation-specific maximum value, proceed as specified in subclause 4.1.1.6A, list item 1.a) for the case a LOCATION UPDATING REJECT message is received without integrity protection. Additionally, if the MS maintains a counter for ""SIM/USIM considered invalid for GPRS services"", then the MS shall increment this counter; and - otherwise proceed as specified under list item a) above for the case that the message has been successfully checked by the lower layers. List item b) above is also applicable, if the message is received in A/Gb mode. If the AUTHENTICATION REJECT message is received in the state IMSI DETACH INITIATED the mobile station shall follow subclause 4.3.4.3. If the AUTHENTICATION REJECT message is received in any other state the mobile station shall abort any MM specific, MM connection establishment or call re-establishment procedure, stop any of the timers T3210, T3230, T3214 or T3216 (if they were running), release all MM connections (if any), start timer T3240 and enter the state WAIT FOR NETWORK COMMAND, expecting the release of the RR connection. If the RR connection is not released within a given time controlled by the timer T3240, the mobile station shall abort the RR connection. In both cases, either after a RR connection release triggered from the network side or after a RR connection abort requested by the MS-side, the MS enters state MM IDLE, substate NO IMSI.",A message sent by the network to the mobile station when authentication fails.,Categorized as a Message because it is a specific signal exchanged between the network and the mobile station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
AUTHENTICATION FAILURE,Authentication Failure Message,Message,V,"Upon receipt of the AUTHENTICATION RESPONSE message, the network stops the timer T3260 and checks the validity of the response (see 3GPP TS 43.020 [13] in case of a GSM authentication challenge respective 3GPP TS 33.102 [5a] in case of an UMTS authentication challenge). Upon receipt of the AUTHENTICATION FAILURE message, the network stops the timer T3260. In Synch failure case, the core network may renegotiate with the HLR/AuC and provide the MS with new authentication parameters.","The AUTHENTICATION FAILURE message is sent by the UE in response to an authentication challenge from the network, indicating that the authentication process has failed. The network stops timer T3260 upon receiving this message.",Classified as a Message because it represents specific data or signaling exchanged between the UE and the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
AUTHENTICATION RESPONSE,Authentication Response Message,Message,V,"Upon receipt of the AUTHENTICATION RESPONSE message, the network stops the timer T3260 and checks the validity of the response (see 3GPP TS 43.020 [13] in case of a GSM authentication challenge respective 3GPP TS 33.102 [5a] in case of an UMTS authentication challenge). Upon receipt of the AUTHENTICATION FAILURE message, the network stops the timer T3260. In Synch failure case, the core network may renegotiate with the HLR/AuC and provide the MS with new authentication parameters.",The AUTHENTICATION RESPONSE message is sent by the UE in response to an authentication challenge from the network. The network stops timer T3260 upon receiving this message and checks its validity.,Categorized as a Message because it represents specific data or signaling exchanged between the UE and the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TS.23.008
