,Question,Option 1,Option 2,Option 3,Option 4,Answer,Explanation,Source,Section,Working Group,Series
13,What is the condition for the serving NG-RAN node to initiate the Connection Inactive procedure?,When the UE is in CM-IDLE state.,When the UE is in CM-CONNECTED with RRC_IDLE state.,"When the UE is in CM-CONNECTED with RRC_CONNECTED state and has received the ""RRC Inactive Assistance Information"" from the AMF.",When the NG-RAN node receives a request from the AMF to initiate the procedure.,Option 3,"The serving NG-RAN node can initiate the Connection Inactive procedure only when the UE is in CM-CONNECTED with RRC_CONNECTED state and has received the ""RRC Inactive Assistance Information"" from the AMF, as defined in clause 5.3.3.2.5 of TS 23.501. This ensures that the NG-RAN node has the necessary information to transition the UE to RRC_INACTIVE state.",3GPP TS 23.502,4.8.1.1 Connection Inactive procedure,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
14,What RAT Type will an S4-SGSN send if it cannot detect that the HSPA Evolution network is behind the Iu interface?,GERAN,UTRAN,HSPA Evolution,GAN,Option 2,"According to NOTE 1, if S4-SGSN cannot detect that the HSPA Evolution network is behind the Iu interface, it will send the ""UTRAN"" RAT Type. This is because the S4-SGSN may not be able to detect the difference between GERAN and UTRAN when GERAN Iu mode is used.",3GPP TS 29.274,8.17 RAT Type,CT WG4,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
15,"What is the state of the MM sublayer when it has a RR connection to a mobile station on the VGCS channel, and only one MM connection is active?",WAIT FOR MOBILE ORIGINATED MM CONNECTION,MM CONNECTION ACTIVE (GROUP CALL),GROUP CALL ACTIVE,MM CONNECTION ACTIVE,Option 2,"According to the MM sublayer states, when the MM sublayer has a RR connection to the talking mobile station on the VGCS channel and only one MM connection is active, it is in the state of ""MM CONNECTION ACTIVE (GROUP CALL)"". This state is specifically applicable for mobile stations supporting VGCS talking.",3GPP TS 24.008,4.1.2.3 MM sublayer states on the network side,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
16,What triggers a UE to perform a tracking area update procedure in an E-UTRAN network?,When the TAI in the EMM system information matches the list of TA's that the UE registered with the network.,"When the TAI in the EMM system information is not in the list of TA's that the UE registered with the network, or when the UE handovers to an E-UTRAN cell and the UE's TIN indicates 'P-TMSI'.",When the UE changes to ECM-IDLE state.,When a data radio bearer cannot be established for an EPS bearer in the ECM-CONNECTED state.,Option 2,"The tracking area update procedure is performed by the UE when it detects a mismatch between the TAI in the EMM system information and its registered TA's, or when it handovers to an E-UTRAN cell with a 'P-TMSI' indication. This ensures that the MME has accurate location information for the UE.",3GPP TS 23.401,4.6.3.2 ECM-CONNECTED,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
17,What is the purpose of an AF invoking Nnef_MemberUESelectionAssistance_Subscribe service operation with Service Experience filtering criteria?,To receive a list of UEs that are currently connected to the network.,To retrieve information about the UE's current location.,To get a list of available services for a specific UE.,"To obtain a list of UEs that fulfill specific Service Experience criteria, such as location, time window, Application ID, and Service Experience type.",Option 4,"The AF invokes the Nnef_MemberUESelectionAssistance_Subscribe service operation to receive a list of UEs that meet specific Service Experience filtering criteria. This allows the AF to select UEs based on various factors such as location, time window, Application ID, and Service Experience type, which is useful for optimizing network resources and improving user experience.",3GPP TS 23.502,4.15.13.5 Specific procedure for Service Experience Member UE filtering criteria 4.15.13.5.1 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
18,What is the primary purpose of the N4 Session Modification procedure in the 5G System?,To establish a new PDU Session at the UPF.,To terminate an existing PDU Session at the UPF.,To update the N4 session context of an existing PDU Session at the UPF.,To retrieve information about an existing PDU Session from the UPF.,Option 3,"The N4 Session Modification procedure is used to modify the parameters of an existing PDU Session, allowing the SMF and UPF to update the session context as needed. This ensures that the UPF can adapt its behavior according to changing network conditions or user requirements.",3GPP TS 23.502,4.4.1.3 N4 Session Modification procedure,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
19,What action should a UE take if AS security is not started and radio link failure occurs before successful delivery of ULInformationTransfer messages has been confirmed by lower layers?,The UE shall ignore the failure and continue with normal operations.,The UE shall re-establish PDCP for all SRBs.,"The UE shall inform upper layers about the possible failure to deliver the information contained in the concerned ULInformationTransfer messages, unless the messages only include dedicatedInfoF1c.",The UE shall release all ongoing procedures and initiate a new RRC connection.,Option 3,"According to the specifications, if AS security is not started and radio link failure occurs before successful delivery of ULInformationTransfer messages has been confirmed by lower layers, the UE should inform upper layers about the possible failure to deliver the information contained in the concerned ULInformationTransfer messages. This ensures that any critical information is not lost due to the failure.",3GPP TS 38.331,5.7.2.4 Failure to deliver ULInformationTransfer message,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
20,What is the primary purpose of the Nnef_EASDeployment_Update service operation in the 5G System (5GS)?,To retrieve EAS Deployment Information from the NF producer.,To update EAS Deployment Information in the NF producer.,To delete EAS Deployment Information from the NF producer.,To create a new AF-service-identifier for EAS Deployment.,Option 2,"The Nnef_EASDeployment_Update service operation is used by the NF consumer to request an update of the EAS Deployment Information in the NF producer. This is evident from the description and inputs/outputs specified for this service operation, which focuses on updating existing information rather than retrieving or deleting it.",3GPP TS 23.502,5.2.6.26.3 Nnef_EASDeployment_Update service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
21,What type of authentication procedure may be triggered by the ON-SNPN after successful primary authentication without using DCS?,Primary authentication using DCS,Secondary authentication using Default UE credentials,Certificate-based authentication for primary and secondary authentication with different client certificates,EAP-TLS authentication for primary authentication only,Option 2,"After successful primary authentication without using DCS, the ON-SNPN may trigger a secondary authentication procedure to further verify the UE's identity. This secondary authentication uses Default UE credentials, which can be configured to use the same client certificates as primary authentication if required by the use case.",3GPP TS 33.501,I.9.2.4.1 Secondary authentication using DCS,SA WG3,"3GPP Series : 33 , Security aspects"
22,In which direction and message is the User-User Information Element included to transport user-user information from the remote user?,"Mobile station to network direction, in the SETUP message","Network to mobile station direction, in the CONNECT message","Network to mobile station direction, in the RELEASE COMPLETE message","Mobile station to network direction, in the DISCONNECT message",Option 3,The User-User Information Element is included in the RELEASE COMPLETE message sent from the network to the mobile station. This allows user-user information to be transported from the remote user during call clearing.,3GPP TS 24.008,9.3.19.1.3 User-user,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
23,What action should the User Equipment (UE) take upon receiving an RRC Release message from the eNodeB?,Perform the actions as specified for connection release.,Ignore the message and continue with the existing configuration.,Send a request to re-establish the connection.,Enter a dormant state until further instructions are received.,Option 1,"Upon receiving an RRC Release message, the UE should perform the actions as specified for connection release. This is because the RRC Release message indicates that the eNodeB is releasing the connection with the UE, and the UE needs to take necessary steps to release resources and enter a state where it can re-establish the connection if needed.",3GPP TS 38.331,5.3.13.9 Reception of the RRCRelease by the UE,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
24,What happens to non-3GPP specific QoS resources reserved by the UE when a PDU Session is released via a trusted non-3GPP Access Network?,The UE continues to hold these resources for future use.,The UE releases these resources when the IKEv2 Child SA is released.,The network releases these resources without any action from the UE.,These resources are automatically reassigned to another PDU Session.,Option 2,"When a PDU Session is released via a trusted non-3GPP Access Network, the UE releases any reserved non-3GPP specific QoS resources when the IKEv2 Child SA is released. This ensures efficient resource management and prevents unnecessary resource occupation.",3GPP TS 23.502,4.12a.7 UE or network Requested PDU Session Release via Trusted non-3GPP access,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
25,What is the primary purpose of the GCI in a 5G network?,To identify the User Equipment (UE) uniquely.,To uniquely identify the line connecting the 5G-CRG or FN-CRG to the 5GS.,To authenticate the user for network access.,To prioritize traffic in a congested network.,Option 2,"The GCI (Generic Connection Identifier) is used to uniquely identify the line connecting the 5G-CRG or FN-CRG to the 5GS, ensuring that each connection can be distinguished and managed properly within the network.",3GPP TS 23.003,28.15.4 GCI,CT WG4,"3GPP Series : 23 , Technical realization (""stage 2"")"
26,What is a key capability of the 5G system in relation to Local Area Network-Type services?,To prioritize traffic from specific applications,To enable User Equipment to discover other nearby devices within the same network,To restrict access to certain websites based on user profile,To dynamically adjust bandwidth allocation for different users,Option 2,"The correct answer is Option 2 because the 5G system is designed to support service discovery mechanisms, allowing User Equipment (UE) to discover other member UEs within the same Local Area Network-Type Virtual Network (LAN-VN). This capability enables seamless communication and interaction between devices in close proximity.",3GPP TS 22.261,6.26.2.6 Discovery,SA WG1,"3GPP Series : 22 , Service aspects (""stage 1"")"
27,How does the UPF send notification related to QoS monitoring information in the context of Event Exposure using Local NEF?,The UPF sends the notification over Nupf_EventExposure_Notify service operation according to the configuration from SMF.,The UPF sends the notification directly to the AF without involving any other network function.,"The UPF sends the notification to the Local NEF, which then forwards it to the AF.",The UPF does not send notifications related to QoS monitoring information in this context.,Option 1,"According to the procedure for Event Exposure using Local NEF, the UPF sends the notification related to QoS monitoring information over Nupf_EventExposure_Notify service operation as defined in clause 5.8.2.18 of TS 23.501, based on the configuration received from SMF.",3GPP TS 23.502,4.15.12 Event Exposure using Local NEF,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
28,"What is the minimum channel spacing for intra-band contiguous carrier aggregation with two or more component carriers, unless stated otherwise?",Any multiple of 300 kHz,The difference between the channel bandwidths of the two respective E-UTRA component carriers,A fixed value of 15 MHz,The sum of the channel bandwidths of the two respective E-UTRA component carriers,Option 1,"According to the 3GPP specification, for intra-band contiguous carrier aggregation with two or more component carriers, the nominal channel spacing between two adjacent E-UTRA component carriers can be adjusted to any multiple of 300 kHz less than the nominal channel spacing. This allows for optimization of performance in a particular deployment scenario.",3GPP TS 36.101,5.7.1A Channel spacing for CA,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
29,What is the primary purpose of the Namf_Communication_EBIAssignment service operation in the 5G System (5GS)?,To request a bunch of EPS Bearer IDs for a PDU Session and optionally indicate to the AMF the list of EBI(s) to be released.,"To prioritize the EBI request based on ARP priority level, pre-emption capability, and pre-emption vulnerability.",To revoke the EBI from an ongoing lower priority PDU Session when the maximum number of EBIs have been reached.,"To provide a list of <ARP, Cause> pair to the consumer NF in response to the Namf_Communication_EBIAssignment service operation.",Option 1,"The primary purpose of the Namf_Communication_EBIAssignment service operation is for the consumer NF to request a bunch of EPS Bearer IDs for a PDU Session and optionally indicate to the AMF the list of EBI(s) to be released. This allows the AMF to prioritize the EBI request, assign EBIs, and provide a response indicating whether the assignment was successful or not.",3GPP TS 23.502,5.2.2.2.13 Namf_Communication_EBIAssignment service operation,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
30,Which entity provides the N5g-eir_EquipmentIdentityCheck service to check if a PEI is in the prohibited list?,UE: User Equipment,gNB: Next Generation Node B,SMF: Session Management Function,5G-EIR: 5G Equipment Identity Register,Option 4,"The 5G-EIR provides the N5g-eir_EquipmentIdentityCheck service to verify if a PEI is in the prohibited list, ensuring that only authorized equipment can access the network.",3GPP TS 23.502,5.2.4.2 N5g-eir_EquipmentIdentityCheck service 5.2.4.2.1 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
31,"What type of E-RABs are always considered active, regardless of whether there is ongoing traffic or not?",Bursty flow E-RABs,Continuous flow E-RABs,QCI1 E-RABs,UE Context Release E-RABs,Option 2,"According to the text, continuous flow E-RABs are always considered active, regardless of whether there is ongoing traffic or not. Examples of such E-RABs include VoIP sessions, Real-time sessions, and Live streaming sessions.",3GPP TS 32.425,A.2 Monitoring of E-RAB release,SA WG5,"3GPP Series : 32 , OAM&P and Charging"
32,What information does the User Equipment (UE) include in the OverheatingAssistance IE when it prefers to temporarily reduce the number of maximum secondary component carriers for Secondary Component Group (SCG) in (NG)EN-DC?,"reducedMaxCCs, reducedCCsDL, and reducedCCsUL","reducedMaxBW-FR1, reducedBW-FR1-DL, and reducedBW-FR1-UL","reducedMaxMIMO-LayersFR1, reducedMIMO-LayersFR1-DL, and reducedMIMO-LayersFR1-UL",reducedMaxCCs only,Option 1,"According to the specifications, when the UE prefers to temporarily reduce the number of maximum secondary component carriers for SCG in (NG)EN-DC, it includes reducedMaxCCs in the OverheatingAssistance IE and sets reducedCCsDL and reducedCCsUL to the number of maximum SCells of the SCG the UE prefers to be temporarily configured in downlink and uplink, respectively.",3GPP TS 38.331,5.7.4.3a Setting the contents of OverheatingAssistance IE,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
33,What is the purpose of including the Protocol Configuration Options IE in a message?,To establish a new PDN connection.,"To transmit protocol data end-to-end for the PDN connection, such as configuration parameters or error codes.",To release an existing PDN connection.,To modify the QoS parameters of a PDN connection.,Option 2,"The Protocol Configuration Options IE is included in a message to transmit protocol data end-to-end for the PDN connection, allowing the MS to send configuration parameters, error codes, or messages/events to the network. This enables the exchange of information necessary for the proper functioning of the PDN connection.",3GPP TS 24.008,9.5.15b.1 Protocol configuration options,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
34,What happens to the NAS signalling connection when a UE provides unavailability information in the attach procedure or tracking area updating procedure?,The MME maintains the NAS signalling connection until the UE registers for normal service without providing unavailability information.,The MME releases the NAS signalling connection after the completion of the attach procedure or the tracking area updating procedure in which the UE provided unavailability information.,The MME suspends the NAS signalling connection until the UE provides updated unavailability information.,The MME terminates the NAS signalling connection and initiates a new attach procedure.,Option 2,"According to the text, when a UE provides unavailability information in the attach procedure or tracking area updating procedure, the MME releases the NAS signalling connection after the completion of the procedure. This is done to conserve resources during the unavailability period.",3GPP TS 24.301,4.11.4 Support for enhanced discontinuous coverage,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
35,What is the procedure followed by the AMF when initiating a re-authentication to create a new 5G NAS security context?,"The AMF sends a SECURITY MODE COMMAND message integrity protected and ciphered with the current 5G NAS security context, including the ngKSI of the new 5G NAS security context.","The AMF sends a SECURITY MODE COMMAND message integrity protected but unciphered with the current 5G NAS security context, including the ngKSI of the new 5G NAS security context.",The UE initiates a security mode control procedure and sends a SECURITY MODE COMPLETE message integrity protected and ciphered with the new 5G NAS security context.,The AMF modifies the current 5G NAS security context without sending a SECURITY MODE COMMAND message.,Option 2,"According to the text, when the AMF initiates a re-authentication to create a new 5G NAS security context, it sends a SECURITY MODE COMMAND message integrity protected but unciphered with the current 5G NAS security context, including the ngKSI of the new 5G NAS security context. This is because both UE and AMF continue to use the current 5G NAS security context until the AMF initiates a security mode control procedure.",3GPP TS 24.501,4.4.2.6 Change of security keys,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
36,"What action should a mobile station take when it receives an RR, MM or CC message with a message type not defined for the PD or not implemented by the receiver in acknowledged mode?",Ignore the message,"Return a status message (STATUS, MM STATUS depending on the protocol discriminator) with cause #97 ""message type non-existent or not implemented""",Send an error message to the network,Disconnect from the network,Option 2,"According to the specifications, when a mobile station receives an RR, MM or CC message with a message type not defined for the PD or not implemented by the receiver in acknowledged mode, it should return a status message (STATUS, MM STATUS depending on the protocol discriminator) with cause #97 ""message type non-existent or not implemented"". This ensures that the network is informed of the error and can take corrective action.",3GPP TS 24.008,8.4 Unknown or unforeseen message type,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
37,What information may be provided by a Localized Service Provider or an SNPN providing access to Localized Services to the HPLMN or subscribed SNPN acting as Credentials Holder for SNPN selection configuration?,Only the SNPN ID or GIN of the SNPN providing access to one or more Localized Services.,Only the identification of each Localized Service and validity information for each Localized Service.,Only the list of UE IDs identifying the UEs subscribed with a Localized Service.,"At least one of the following parameters: SNPN ID or GIN, identification of each Localized Service, validity information for each Localized Service, and/or list of UE IDs identifying the UEs subscribed with a Localized Service.",Option 4,"The correct answer is Option 4 because according to the text, the configuration information for SNPN selection may contain at least one of the following parameters: SNPN ID or GIN, identification of each Localized Service, validity information for each Localized Service, and/or list of UE IDs identifying the UEs subscribed with a Localized Service. This allows for flexibility in the type of information provided by the Localized Service Provider or SNPN providing access to Localized Services.",3GPP TS 23.501,N.6 Configuration of Credentials Holder for determining SNPN selection information,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
38,What does the MBMS-Time-To-Data-Transfer AVP indicate in the context of MBMS session management?,The time between the end of the MBMS Session Start and the commencement of the MBMS Data flow.,The expected time for the UE to process the MBMS Session Start command.,The expected time between reception of the MBMS Session Start (RAR(Start) command) and the commencement of the MBMS Data flow.,The maximum allowed delay for the MBMS Data flow to start after the MBMS Session Start.,Option 3,"The correct answer is Option 3 because it accurately describes the purpose of the MBMS-Time-To-Data-Transfer AVP, which is to indicate the expected time between the reception of the MBMS Session Start command and the commencement of the MBMS Data flow. This information is crucial for proper session management in MBMS services.",3GPP TS 29.061,17.7.14 MBMS-Time-To-Data-Transfer AVP,CT WG3,"3GPP Series : 29 , Signalling protocols (""stage 3"") - intra-fixed-network"
39,What additional parameters may an Application Function (AF) include in a request to invoke Nnef_MemberUESelectionAssistance_Subscribe service operation for end-to-end data volume transfer time related filtering criteria?,"Only the mandatory parameters are required, and no additional parameters can be included.","The AF may include the average end-to-end data volume transfer time for a specific data volume between UE and AF, but not the variance of the end-to-end data volume transfer time.","The AF may include the average end-to-end data volume transfer time for a specific data volume between UE and AF, the variance of the end-to-end data volume transfer time, an Area of Interest, and/or time windows for selecting the candidate UEs.","The AF may only include an Area of Interest or time windows for selecting the candidate UEs, but not any end-to-end data volume transfer time related filtering criteria.",Option 3,"According to the 3GPP TS 23.502 specification, when invoking Nnef_MemberUESelectionAssistance_Subscribe service operation with end-to-end data volume transfer time related filtering criteria, an AF may include additional parameters such as the average end-to-end data volume transfer time for a specific data volume between UE and AF, the variance of the end-to-end data volume transfer time, an Area of Interest, and/or time windows for selecting the candidate UEs. This allows the AF to provide more specific filtering criteria to receive a list of UEs that fulfill those criteria.",3GPP TS 23.502,4.15.13.6 Specific procedure for end-to-end data volume transfer time related member UE filtering criteria 4.15.13.6.1 General,SA WG2,"3GPP Series : 23 , Technical realization (""stage 2"")"
40,What is the required difference between CRS EPRE and MBSFN RS EPRE for a subcarrier spacing of 15kHz to ensure optimal UE demodulation performance?,-3 dB,0 dB,5 dB,10 dB,Option 2,"According to the specifications, for a subcarrier spacing of 15kHz, the difference between CRS EPRE and MBSFN RS EPRE should be set to 0 dB to ensure optimal UE demodulation performance. This is because different power offsets might affect the UE's ability to accurately demodulate the signal if this condition is not met.",3GPP TS 36.101,10.3 FDD (Fixed Reference Channel) with FeMBMS,RAN4,"3GPP Series : 36 , LTE (Evolved UTRA), LTE-Advanced, LTE-Advanced Pro radio technology"
41,What happens when the size of an encoded RRC message PDU exceeds the maximum PDCP SDU size?,The RRC message is discarded and a new one is generated.,Segmentation is performed in the RRC layer to carry each segment in a separate RRC PDU.,"The RRC message is transmitted as is, without any modifications.",The maximum PDCP SDU size is increased to accommodate the large RRC message.,Option 2,"When an encoded RRC message exceeds the maximum allowed size for a PDCP SDU (Protocol Data Unit), it needs to be segmented into smaller parts. This segmentation process occurs within the RRC layer, where each segment of the original message is carried in its own separate RRC PDU. The receiving end then reassembles these segments back into the complete RRC message.",3GPP TS 38.300,7.10 Segmentation of RRC messages,RAN2,"3GPP Series : 38 , Radio technology beyond LTE"
42,What type of registration should a UE indicate in the 5GS registration type IE when initiating the registration procedure for onboarding services in SNPN?,Initial Registration,Emergency Registration,SNPN Onboarding Registration,Disaster Roaming Initial Registration,Option 3,"According to the specified procedure, when a UE initiates the initial registration for onboarding services in SNPN, it should indicate ""SNPN onboarding registration"" in the 5GS registration type IE. This is a specific requirement for this type of registration, and the correct answer reflects this nuance.",3GPP TS 24.501,5.5.1.2 Registration procedure for initial registration 5.5.1.2.1 General,CT WG1,"3GPP Series : 24 , Signalling protocols (""stage 3"") - user equipment to network"
